,标题,up主,频道,标签,播放量,粉丝数,点赞,硬币,收藏,分享,弹幕,评论,时间,点赞率,投币率,收藏率,分享率,期数,发布时间,爬取时间
17,1818黄金眼【在路上：打完电话 他爆发了】,1818黄金眼,1818黄金眼,资讯 社会,296599,512143,6716,3315,2629,4369,2414,3340,23221.50583,0.022643367,0.011176707,0.00886382,0.014730326,2,2019/4/1 8:57,2021/11/23 22:27
18,[LPL春季赛] 3月30日 IG vs EDG,哔哩哔哩英雄联盟赛事,LPL 英雄联盟,游戏 电子竞技,2639126,11327313,33762,25863,20649,6141,61747,14707,23256.73056,0.012792872,0.009799835,0.007824181,0.002326907,2,2019/3/30 21:44,2021/11/23 22:27
19,号外！全新弹幕功能进入内测阶段！,哔哩哔哩弹幕网,,生活 搞笑,844765,3480196,31596,6228,4721,3374,9323,20762,23230.46,0.037402118,0.007372465,0.005588536,0.00399401,2,2019/4/1 0:00,2021/11/23 22:27
20,比《复联4》更虐！漫威不敢拍的复联10次团灭,努力的Lorre,漫威 超级英雄,动画 综合,2215882,4150821,60856,34019,16317,2357,4466,2381,23308.16583,0.027463556,0.015352352,0.007363659,0.001063685,2,2019/3/28 18:17,2021/11/23 22:27
21,【游戏侦查冰】揭秘游戏氪金抽卡的“黑幕”,芒果冰OL,,游戏 手机游戏,2241689,2139884,221011,268825,92569,36111,26929,11110,23290.71528,0.098591285,0.119920738,0.04129431,0.016108836,2,2019/3/29 11:45,2021/11/23 22:27
22,云南奇葩蔬菜竟这么多！为啥美国蔬菜品种都一样？,我是郭杰瑞,美国 旅游 美食,美食 美食侦探,1819718,7049725,57054,14946,4034,2840,11174,4282,23195.46333,0.03135321,0.008213361,0.002216827,0.001560681,2,2019/4/2 11:00,2021/11/23 22:27
23,我是超杀女，我来了！,科洛莫瑞兹ChloeMoretz,,娱乐 明星综合,1332532,236293,52011,29623,9383,4712,2621,8892,23163.47778,0.039031708,0.022230611,0.007041482,0.003536125,2,2019/4/3 18:59,2021/11/23 22:27
24,【C菌】只能用耳朵玩的国产推理游戏！,渗透之C君,,游戏 单机游戏,1335887,5692629,66450,49277,34269,5423,14892,3636,23281.95806,0.049742231,0.036887102,0.025652619,0.004059475,2,2019/3/29 20:30,2021/11/23 22:28
25,点外卖的时候备注：”往死里加辣“会怎么样,楼上的老张,搞笑,生活 日常,3282245,1990970,105677,45854,12584,2288,30444,6957,23185.15528,0.032196561,0.013970316,0.003833961,0.000697084,2,2019/4/2 21:18,2021/11/23 22:28
26,靠谱盘点33：笑疯！Faker首次传授独家中单秘诀，厂长变身食肉型打野，各赛区爆笑吐槽,靠谱电竞,SKT 英雄联盟 搞笑,游戏 电子竞技,1872126,2332350,141141,199794,37632,4701,4662,2680,23306.96389,0.075390759,0.106720381,0.020101211,0.002511049,2,2019/3/28 19:30,2021/11/23 22:28
27,【嘻咦啊看】这个抛妻弃子的男人赢得了所有人的喝彩,嘻咦啊看,,影视 影视杂谈,1538323,1998615,47730,43298,10269,5029,10210,3804,23209.81028,0.031027294,0.028146235,0.006675451,0.003269144,2,2019/4/1 20:39,2021/11/23 22:28
28,人类第一张黑洞照片，来了！,二次元的中科院物理所,天文 宇宙 科学 科普,知识 科学科普,1407418,1709028,57359,25919,23211,9818,23078,15499,22992.47444,0.040754772,0.018415993,0.016491902,0.006975895,3,2019/4/10 21:59,2021/11/23 22:28
29,破釜沉舟跑步机,手工耿,手工,生活 手工,10870523,6006687,371353,168158,56004,133702,19195,13832,23050.90778,0.034161466,0.015469173,0.005151914,0.0122995,3,2019/4/8 11:33,2021/11/23 22:28
30,【名师rap】游戏不打不成才,伊丽莎白鼠,RAP 鬼畜,鬼畜 鬼畜调教,7924719,6366440,453976,375073,213376,84864,24937,24136,23123.8875,0.057286069,0.047329502,0.026925371,0.010708771,3,2019/4/5 10:35,2021/11/23 22:28
31,随机理发！太丢人了！！早知道这样我还不如女装！,吃素的狮子,萌宠 vlog 搞笑,生活 日常,1511970,3110072,161875,186657,40388,5145,13027,4413,22996.97139,0.107062309,0.123452846,0.02671217,0.003402845,3,2019/4/10 17:30,2021/11/23 22:28
32,这个水果长得真漂亮，不如做成【水果奶酪三明治】吧~嘻嘻,爱做饭的芋头SAMA,水果 美食,美食 美食制作,2178716,3397918,146247,101946,55642,9077,3372,3871,22994.4575,0.067125316,0.04679178,0.025538895,0.004166215,3,2019/4/10 20:00,2021/11/23 22:28
33,【七代小丑/踩点/混剪/高燃】前方高能！欢乐与惊悚的踩点视觉盛宴！希斯莱杰诞辰40周年纪念。,迪亚瓦尔Diaval,自杀小队 小丑 DC 影视混剪 超级英雄,影视 影视剪辑,18357737,193077,857300,665114,740166,118047,40498,9023,23141.46083,0.046699656,0.036230718,0.040319022,0.006430368,3,2019/4/4 17:00,2021/11/23 22:28
34,【敖厂长】沙雕游戏主角死法超级华丽,敖厂长,,游戏 单机游戏,5178139,7580963,236955,234183,54836,7276,28466,9635,22977.84528,0.045760649,0.045225321,0.010589905,0.001405138,3,2019/4/11 12:37,2021/11/23 22:28
35,探秘印度医药，真的有牛尿做的药吗？,我是郭杰瑞,印度 搞笑,生活 搞笑,1437223,7049726,44991,16149,3076,2207,12903,3549,22979.53083,0.031304119,0.011236252,0.002140239,0.0015356,3,2019/4/11 10:56,2021/11/23 22:28
36,华农兄弟：怀孕好几个月的香猪终于生了，一下生了9只小香猪,华农兄弟,萌宠,动物圈 动物综合,1723760,6477678,57303,17223,2955,2017,6533,3768,23139.46694,0.033243027,0.00999153,0.001714276,0.001170116,3,2019/4/4 19:00,2021/11/23 22:28
37,电影最TOP 123: 难以超越的奇幻史诗巨制《指环王》三部曲,电影最TOP,魔戒,影视 影视杂谈,2798045,4063721,140777,186987,67680,11251,51020,6622,22993.97167,0.050312629,0.066827732,0.024188317,0.004021022,3,2019/4/10 20:30,2021/11/23 22:28
38,和日本妹子结婚要花多少钱？日本的收入情况up听到后惊呆了。。。,纳豆奶奶,日本 科普,生活 日常,4019788,4476873,242586,171205,46134,6837,20688,10182,23094.66583,0.060347959,0.042590555,0.011476725,0.001700836,3,2019/4/6 15:48,2021/11/23 22:28
39,年度最传奇动画！一集封神开创沙雕时代！看完笑疯了！,LexBurner,动漫杂谈,动画 综合,4075318,6961038,273240,251082,82165,11010,19405,9392,23077.25778,0.067047529,0.061610407,0.020161617,0.00270163,3,2019/4/7 9:13,2021/11/23 22:28
40,【老番茄】史上最骚杀手(第三集),老番茄,杀手2,游戏 单机游戏,16889404,16529825,1142939,1164174,468580,24736,54820,8474,23122.46833,0.067671956,0.068929253,0.027744022,0.001464587,3,2019/4/5 12:00,2021/11/23 22:28
41,DC超强反英雄「黑亚当」科普，《雷霆沙赞2》反派就是他了！,努力的Lorre,DC 超级英雄,影视 影视杂谈,1457524,4150821,43002,15094,7114,918,2550,1479,22996.47194,0.029503459,0.010355919,0.00488088,0.000629835,3,2019/4/10 18:00,2021/11/23 22:28
42,巴黎圣母院遭遇严重火灾损失惨重 法国总统马克龙含泪宣布重建,小央视频,,资讯 综合,751522,2057151,10739,1948,3329,2989,4459,22569,22860.29694,0.014289668,0.002592073,0.004429677,0.003977262,4,2019/4/16 10:11,2021/11/23 22:28
