,标题,up主,频道,标签,播放量,粉丝数,点赞,硬币,收藏,分享,弹幕,评论,时间,点赞率,投币率,收藏率,分享率,期数,发布时间,爬取时间
3703,【时代少年团】《这福气给你要不要》之晚餐大作战,TF家族,娱乐一起FUN·趣味叨叨叨 时代少年团,娱乐 明星综合,3214557,3763926,156497,45547,33107,6544,102328,10729,674.9,0.048683847,0.014168982,0.010299086,0.002035739,136,2021/10/27 17:26,2021/11/24 20:20
3704,帅小伙自制火爆街头的桥头排骨，酥脆的口感吃着比薯片还爽！,记录生活的蛋黄派,创作加成计划 试吃 美食 搞笑,美食 美食测评,2686401,6753963,260286,59925,19787,4221,19166,3766,722.8333333,0.096890226,0.022306796,0.007365617,0.001571247,136,2021/10/25 17:30,2021/11/24 20:20
3705,盘点一下网上的那些穿搭陷阱！,我是球球菌,每日穿搭 购物分享 潮流 服饰,时尚 穿搭,2184981,561800,209294,45294,32423,11804,5403,3216,818.35,0.095787561,0.0207297,0.014839031,0.005402335,136,2021/10/21 18:00,2021/11/24 20:21
3706,【咬人猫X矮乐多】零 元 购 猫！Ngana Rindu,=咬人猫=,,生活 搞笑,2752247,3654341,172261,48836,67809,8235,1349,2668,793.35,0.062589223,0.017744047,0.024637687,0.002992101,136,2021/10/22 19:00,2021/11/24 20:21
3707,眼妆|敦煌·飞天 × 张艺兴《飞天》,Yvonne_莲井,bilibili仿妆大赛 张艺兴 化妆教程 美妆,时尚 美妆护肤,689102,6850,40871,9945,4557,1476,737,681,750.3,0.059310523,0.014431826,0.006612954,0.002141918,136,2021/10/24 14:03,2021/11/24 20:21
3708,【亮记生物鉴定】网络热传生物鉴定35,无穷小亮的科普日常,知识分享官 生物 科普,知识 科学科普,5914832,6061798,583504,93725,41365,16906,34775,7618,646.6333333,0.098650985,0.015845759,0.006993436,0.002858238,136,2021/10/28 21:43,2021/11/24 20:21
3709,六周年CG【荣耀同行】：每一次，你都在我身边,王者荣耀,公孙离 王者荣耀,游戏 电子竞技,2091150,3344329,89013,11227,18346,7795,3801,9232,899.35,0.04256653,0.005368816,0.008773163,0.003727614,136,2021/10/18 9:00,2021/11/24 20:21
3710,【RAY】我把折叠屏手机做成了我们的地球,RAY的模型世界,模型制作 模型 手机 手工 DIY,动画 手办·模玩,847951,746604,78620,93260,29976,6717,4342,1338,697.85,0.092717622,0.10998277,0.035351099,0.007921448,136,2021/10/26 18:30,2021/11/24 20:21
3711,自制莫西干式自动喝饮料帽子,手工耿,芬达玩味 搞怪出动 手工 DIY,科技 极客DIY,3207991,6007658,238259,44760,10094,11266,20921,7549,795.35,0.07427047,0.013952658,0.003146518,0.003511855,136,2021/10/22 17:00,2021/11/24 20:21
3712,【动态胡桃】????????????小胡桃 别盯着我看！,万老板,动态壁纸 4K 板绘 原神 绘画,生活 绘画,2115122,133962,235765,88691,131901,19686,1876,4396,801.2666667,0.111466383,0.04193186,0.062360942,0.009307265,136,2021/10/22 11:05,2021/11/24 20:21
3713,【诸神黄昏】如何永久告别流氓软件？全网最强流氓软件清除攻略！！！,痞仔伯爵,科技猎手 冷知识 装机 黑科技 电脑 技术宅 搞笑,科技 软件应用,3418898,283715,249553,199947,301199,33447,5960,6596,650.8,0.072992233,0.05848288,0.08809827,0.009782977,136,2021/10/28 17:33,2021/11/24 20:21
3714,难兄难弟,老番茄,万物皆可游戏,游戏 单机游戏,3497286,16534507,260887,61780,30427,2761,7024,2336,797.4333333,0.074596987,0.017665127,0.008700175,0.000789469,136,2021/10/22 14:55,2021/11/24 20:21
3715,电影最TOP：一口气看完《007》系列（24部正传+2部外传）,电影最TOP,影评,影视 影视杂谈,1746974,4065055,151082,143150,42677,8814,24554,2482,671.6166667,0.086482111,0.081941689,0.024429099,0.005045295,136,2021/10/27 20:45,2021/11/24 20:22
3716,这个是懒还是聪明,疯狂小杨哥,,生活 搞笑,3635164,2891841,287238,10401,12759,4024,3285,1479,697.2833333,0.079016518,0.002861219,0.003509883,0.001106965,136,2021/10/26 19:05,2021/11/24 20:22
3717,英雄联盟设计师，把盖伦删了吧,店长盖伦,游戏知识分享官 英雄联盟 搞笑,游戏 电子竞技,5103318,309575,379730,26308,26568,24333,2765,5358,796.2,0.074408453,0.005155078,0.005206025,0.004768074,136,2021/10/22 16:10,2021/11/24 20:22
3718,用300只虾做一碗面！怎么一只虾也看不见？？？,二喵的饭,小吃 厨艺 美食 搞笑,美食 美食制作,2814583,4292749,265541,104363,20759,4946,6203,2539,649.1666667,0.094344704,0.037079383,0.007375515,0.001757276,136,2021/10/28 19:12,2021/11/24 20:22
3719,【井上正大】帝 骑 0 元 购,井上正大-官方,假面骑士 特摄 搞笑,娱乐 明星综合,2369215,889485,237906,83947,51209,32622,3311,4096,673.8666667,0.100415538,0.035432411,0.021614332,0.013769118,136,2021/10/27 18:30,2021/11/24 20:22
3720,当普通女生模仿易梦玲。。。,nya酱的一生,每日穿搭 潮流 服饰 搞笑,时尚 穿搭,1644347,2038776,113359,44922,15628,4085,29426,2331,724.3666667,0.068938612,0.027319051,0.009504077,0.002484269,136,2021/10/25 16:00,2021/11/24 20:22
3721,【野王养蛊】和流氓软件斗智斗勇是一种什么体验！,李野王SG,科技猎手 冷知识 装机 黑科技 野生技术协会 技术宅 科普 搞笑,科技 软件应用,1764968,64360,116861,86572,144230,9911,2179,3469,657.3666667,0.066211399,0.049050181,0.081718195,0.005615399,136,2021/10/28 11:00,2021/11/24 20:22
3722,“本以为是恶毒后妈，没想到她在偷偷爱你”【国王排名】,蒙娜丽鲨鱼,动漫名场面 国王排名 MAD,动画 MAD·AMV,5705884,77433,392192,105629,140908,32704,2368,5254,625.15,0.068734661,0.018512294,0.024695209,0.005731627,137,2021/10/29 19:13,2021/11/24 20:22
3723,靠谱盘点141:杀尺帝！EDG送走GEN挺进决赛，DK！下个就是你！,靠谱电竞,英雄联盟S11 GEN EDG LPL 英雄联盟,游戏 电子竞技,2572903,2331867,185272,92355,19668,3546,16655,9241,522.9,0.072008933,0.035895251,0.007644284,0.00137821,137,2021/11/3 1:29,2021/11/24 20:23
3724,5G，华为，土耳其——我花了两个月，搞懂了5G背后的秘密,老奇好好奇,知识分享官 5G 计算机 科学 科普,知识 科学科普,7216170,303565,854847,945829,462631,96116,26548,16913,551.6833333,0.118462703,0.131070776,0.064110324,0.013319531,137,2021/11/1 20:42,2021/11/24 20:23
3725,当你用九十年代的画风打开原神,前朝香,GMV 动画短片 原神,游戏 手机游戏,3737949,4560,389213,84420,157390,51295,3241,6594,553.8833333,0.104124749,0.022584578,0.042105978,0.013722766,137,2021/11/1 18:30,2021/11/24 20:23
3726,《浪漫主义》,姜云升,,音乐 MV,3574788,2027312,386282,199741,175948,34393,5003,7135,571.05,0.108057317,0.055874922,0.049219143,0.00962099,137,2021/11/1 1:20,2021/11/24 20:23
3727,这英特尔12代CPU有点强啊！,极客湾Geekerwan,科技猎手,科技 数码,1310281,2263424,78909,57078,17721,10236,11127,8210,477.7,0.06022296,0.043561648,0.01352458,0.007812065,137,2021/11/4 22:41,2021/11/24 20:23
3728,迪迦降临 真人CG特效变身动画 【夜空】,镇魂曲的夜空,特摄名场面 迪迦奥特曼 微电影 奥特曼 特摄,动画 特摄,610959,229175,50936,18734,13857,2344,876,854,626.35,0.08337057,0.030663269,0.022680736,0.003836591,137,2021/10/29 18:02,2021/11/24 20:23
3729,为了拍到烟花爆炸中心的画面，我们炸了两台穿越机！,循环bili,这波装到了 航拍,生活 日常,3988381,41446,534559,352587,249587,65158,8308,7293,625.2333333,0.134029071,0.08840354,0.062578525,0.016336955,137,2021/10/29 19:09,2021/11/24 20:23
3730,嘿，兄弟！我们好久不见你在哪里？,锦书致南辞,佟湘玉 白展堂 影视混剪,影视 影视剪辑,1316978,927223,84511,28171,20665,3886,1480,2417,512.8833333,0.064170396,0.021390638,0.015691226,0.002950695,137,2021/11/3 11:30,2021/11/24 20:23
3731,史上最离谱随机挑战！居然随机到花少北蹭饭...【第六期】,力元君,搞笑,生活 搞笑,5674881,3549157,706319,236169,72897,10760,44024,9491,609.3,0.124464108,0.041616555,0.012845556,0.001896075,137,2021/10/30 11:05,2021/11/24 20:23
3732,《三体》电视剧预告细节解析！是你想看的名场面吗？【培根悖论】,培根悖论唠唠嗑,影视万话镜 刘慈欣 三体 科幻,影视 影视杂谈,529879,828398,31133,5968,3343,2440,3434,3542,503.6833333,0.058754923,0.011262949,0.006308988,0.004604825,137,2021/11/3 20:42,2021/11/24 20:23
3733,让子弹飞第二部？《马邦德：无暇赴死》终极预告泄漏～,无责任的幻想世界,影视万话镜 让子弹飞,影视 影视剪辑,2052673,3008,134739,65217,30123,22194,1104,1664,623.95,0.065640752,0.031771743,0.014675012,0.010812243,137,2021/10/29 20:26,2021/11/24 20:23
3734,【S11全球总决赛】半决赛 10月31日 EDG vs GEN,哔哩哔哩英雄联盟赛事,英雄联盟S11 GEN EDG 电竞赛事 英雄联盟,游戏 电子竞技,6520865,11319970,96412,35802,16171,5886,72752,23993,575.3666667,0.014785155,0.005490376,0.002479886,0.000902641,137,2021/10/31 21:02,2021/11/24 20:24
3735,【2021共创之夜】完整版回放：欢迎来到王者荣耀！,王者荣耀,王者荣耀,游戏 电子竞技,6906782,3344329,133293,23371,44951,6665,21873,10537,597.9166667,0.019298857,0.003383776,0.006508241,0.000964994,137,2021/10/30 22:29,2021/11/24 20:24
3736,笑死！这2元的童年回忆根本吃不完！！！无骨鸡柳,麻烦摩摩叩,新物种研究所 小吃 烹饪 美食,美食 美食制作,3574841,359164,128122,51348,105964,15658,5423,2737,530.4,0.035839916,0.014363716,0.029641598,0.004380055,137,2021/11/2 18:00,2021/11/24 20:24
3737,干！净！又！卫！生！的芦荟汁！送给史上最爱蹭饭的朋友们,绵羊料理,美食纪 小吃 烹饪 厨艺 美食 搞笑,美食 美食制作,6821999,8770489,624609,244502,55234,21359,26251,8139,623.75,0.091558061,0.035840228,0.008096454,0.0031309,137,2021/10/29 20:39,2021/11/24 20:24
3738,3个词，某宝秒购梦中服装 | 你连tb都不会用！！,晓观队长,服饰 美妆,时尚 穿搭,1013121,337021,69396,17114,71663,2304,865,876,750.9,0.068497248,0.016892355,0.070734888,0.002274161,137,2021/10/24 13:30,2021/11/24 20:24
3739,“强加于他人的善意，和恶意有什么区别呢”｜无法超越的动漫台词,一个爱吃的猪,知识分享官,知识 人文历史,2129097,805710,180362,81292,139112,5113,3564,4457,553.15,0.084712909,0.038181445,0.065338498,0.002401488,137,2021/11/1 19:15,2021/11/24 20:24
3740,这不是PPT技术，是PPT魔术吧,黑白间设计,知识分享官,知识 设计·创意,2072208,286859,131316,73983,212732,6243,478,1050,648.4,0.063370086,0.035702497,0.102659579,0.003012728,137,2021/10/28 20:00,2021/11/24 20:24
3741,元 辅 导,浑元Rysn,乐器 演奏 搞笑,音乐 演奏,11889803,1903570,1015601,244717,240127,73248,7569,9640,651.2333333,0.085417816,0.02058209,0.020196045,0.006160573,137,2021/10/28 17:10,2021/11/24 20:24
3742,离家出走半年 ，400万粉不干了！！,三十六贱笑,搞笑配音 配音 搞笑,动画 短片·手书·配音,3235614,4583542,352910,312271,117821,12992,6741,3752,608.9,0.109070489,0.096510585,0.0364138,0.004015312,137,2021/10/30 11:30,2021/11/24 20:24
3743,不及时纠正这2个错误，很难拥有腹肌！,Gandy__,马甲线 增肌 健身,运动 健身,1567408,328172,85735,36541,87730,4125,1533,1066,627.1333333,0.054698585,0.023313011,0.055971387,0.002631733,137,2021/10/29 17:16,2021/11/24 20:24
3744,胡桃单曲《嗷》Remix,哦呼w,动感视频 鬼畜调教 鬼畜 原神 搞笑,鬼畜 鬼畜调教,3490775,1745341,328540,200058,161955,39238,9527,6296,584.3333333,0.094116636,0.057310483,0.046395141,0.011240484,137,2021/10/31 12:05,2021/11/24 20:25
3745,【时代少年团】《光环中的少年——“踯躅”》（上）,TF家族,时代少年团,娱乐 明星综合,4949701,3763942,278893,103202,75125,15030,656457,34297,625.0833333,0.056345424,0.020850148,0.015177684,0.003036547,137,2021/10/29 19:20,2021/11/24 20:25
3746,这个游戏出现在21世纪还是过于早了,某幻君,游戏知识分享官 鬼畜,游戏 单机游戏,3590557,7108607,418419,190621,113445,13395,13411,4949,608.4166667,0.116533173,0.053089535,0.031595376,0.003730619,137,2021/10/30 12:00,2021/11/24 20:25
3747,关于胡桃堂主很喜欢换装的事,KKOMDA,原神,动画 短片·手书·配音,2035847,300017,228665,110624,100916,11616,2773,3205,530.4166667,0.112319344,0.054338072,0.04956954,0.005705733,137,2021/11/2 18:00,2021/11/24 20:25
3748,杀手：嗯？目标呢？？,逗比的雀巢,搞笑,生活 搞笑,7111178,4247626,538677,120519,70911,12038,8531,4093,583.1333333,0.075750741,0.016947825,0.009971766,0.001692828,137,2021/10/31 13:17,2021/11/24 20:25
3749,真·十字回旋镖! 手把手教你做百分百能飞回来的折纸回旋镖,纸飞君,创意手工大赏 折纸 手工 必剪创作,生活 手工,2602486,498384,121328,58909,187277,5424,771,1303,628.5333333,0.046620039,0.022635665,0.07196081,0.002084161,137,2021/10/29 15:53,2021/11/24 20:25
3750,【嘉然】??心动警告??《YOU&IDOL》，击中你的心！！,嘉然今天吃什么,虚拟UP主 翻唱,音乐 翻唱,1705127,1264744,145909,113404,65262,26541,10487,46193,534.4833333,0.085570752,0.066507656,0.038273982,0.015565409,137,2021/11/2 13:56,2021/11/24 20:25
3751,知名Up主被CIA盯上了？？,大漠叔叔,农村 搞笑,生活 日常,3022910,4734816,277602,77018,19172,9503,9174,4890,575.8333333,0.091832704,0.025478099,0.006342233,0.00314366,137,2021/10/31 20:35,2021/11/24 20:25
3752,刻在90后DNA里的34首大串烧！你能从头唱到尾吗？,杨可爱Ukulele,原创扩音计划 林俊杰 尤克里里 周杰伦 翻唱 演奏,音乐 翻唱,4055048,1025865,280233,245891,145854,20100,26570,7694,575.8333333,0.069107197,0.060638246,0.035968501,0.004956785,137,2021/10/31 20:35,2021/11/24 20:25
3753,胃溃疡会不会导致叛逃？【硬核狠人13】,小约翰可汗,知识分享官 历史 美国 人文,知识 人文历史,3338333,2604091,174850,100210,29391,9106,20836,7540,578.3166667,0.052376441,0.030017976,0.008804095,0.002727709,137,2021/10/31 18:06,2021/11/24 20:25
3754,116元的小猪佩奇游戏,花少北丶,小猪佩奇 搞笑,游戏 单机游戏,2191267,5732395,201740,211890,97983,4657,20496,4070,632.4166667,0.092065458,0.096697481,0.044715226,0.002125254,137,2021/10/29 12:00,2021/11/24 20:25
3755,“ 绝地求生隐身挂 ” 【BUG快乐阴人流#4】,鲁大能,游戏知识分享官 吃鸡,游戏 网络游戏,1414471,1961825,173340,74528,24361,13959,11323,2502,512.4333333,0.122547581,0.052689663,0.017222693,0.009868707,137,2021/11/3 12:00,2021/11/24 20:26
3756,【赛事晚自习189】EDG建队8年首次晋级决赛！加油，只剩最后一个Bo5了！GEN vs EDG细节复盘,LPL战术小黑板,英雄联盟S11 LCK LPL 英雄联盟,游戏 电子竞技,1327185,972059,105349,45727,7908,1693,3618,4915,549.6833333,0.079377781,0.034454127,0.005958476,0.001275632,137,2021/11/1 22:45,2021/11/24 20:26
3757,出门吃个简易早餐，经济又实惠，干净又卫生！,刘庸干净又卫生,,,3289661,1611408,167226,20049,4204,2597,9011,5089,1068596.433,0.050833809,0.006094549,0.001277943,0.000789443,137,,2021/11/24 20:26
3758,20万买我女儿的命，我该怎么办？在线等....,导演小策,B站小剧场 短片,影视 短片,2190731,2595295,249978,188894,43790,25513,11393,5693,602.4333333,0.114107118,0.086224187,0.019988762,0.011645884,137,2021/10/30 18:00,2021/11/24 20:26
3759,羊 超 越,酸梨大王,羊驼 搞笑,舞蹈 舞蹈综合,8075786,425313,466433,82517,66301,73494,2296,4757,611.4333333,0.057756979,0.010217829,0.008209851,0.009100538,137,2021/10/30 9:00,2021/11/24 20:26
3760,我们做到了!EDG挺进S11决赛!,EDG电子竞技俱乐部,英雄联盟S11 EDG 英雄联盟,游戏 电子竞技,1749938,2166401,97848,35232,6929,2254,2295,21886,570.95,0.055915124,0.020133285,0.003959569,0.001288046,137,2021/11/1 1:29,2021/11/24 20:26
3761,纸：你没有手机吗？,叶无趣,手绘 绘画 王者荣耀 搞笑,生活 绘画,1373039,1034395,71221,10554,7420,4510,2073,1448,506.4333333,0.051871068,0.007686599,0.005404071,0.003284685,137,2021/11/3 18:00,2021/11/24 20:26
3762,分尸、构陷、暗网、虐杀，每集一个大高潮，这剧是要逆天！悬疑犯罪剧《逆局》第一期,小片片说大片,影视万话镜,影视 影视杂谈,1922058,5065266,121894,26933,13047,6208,6700,2315,481.3833333,0.063418482,0.014012584,0.006788037,0.003229871,137,2021/11/4 19:03,2021/11/24 20:26
3763,这也有人做？你可能没看过的小众视频类型大赏！,-LKs-,种草 科普,生活 日常,1397615,2329253,143618,96645,76992,7764,12647,6505,632.4333333,0.102759344,0.069149945,0.055088132,0.005555178,137,2021/10/29 12:00,2021/11/24 20:26
3764,评分2.3！史上最丑陋动画！看完我直接怀疑人生！,瓶子君152,动漫杂谈大会 动漫杂谈 搞笑,动画 综合,2467308,3199814,161720,31677,20017,4015,7064,3514,579.4333333,0.06554512,0.012838689,0.008112891,0.00162728,137,2021/10/31 17:00,2021/11/24 20:26
3765,史上最离谱随机挑战！我们终于去老番茄家蹭饭了！！【第七期】,雨哥到处跑,周淑怡 搞笑,生活 搞笑,11110741,2467968,1892942,1119676,297065,52506,184020,43143,441.3666667,0.170370455,0.100774197,0.026736741,0.004725697,138,2021/11/6 11:05,2021/11/24 20:27
3766,【S11全球总决赛】决赛 11月6日 EDG vs DK,哔哩哔哩英雄联盟赛事,EDG 电竞赛事 英雄联盟,游戏 电子竞技,16221408,11319934,445729,310786,162727,30004,246422,61838,431.2333333,0.027477824,0.019159003,0.01003162,0.001849654,138,2021/11/6 21:13,2021/11/24 20:27
3767,我不想坐地铁上班啊啊啊啊啊啊啊啊啊,幾加乘,手书 搞笑,动画 短片·手书·配音,5758333,1045926,619226,605734,222468,66305,10507,8288,440.8666667,0.107535636,0.105192597,0.038634098,0.011514617,138,2021/11/6 11:35,2021/11/24 20:27
3768,【医学博士】为什么越睡越困？丨如何高效睡眠？,兔叭咯,EDG 健康 英雄联盟 搞笑,知识 科学科普,3691042,5544168,251469,71985,80512,38956,45523,7592,335.4833333,0.068129542,0.019502623,0.021812811,0.010554201,138,2021/11/10 20:58,2021/11/24 20:27
3769,认  真  的  雪   （cover薛之谦｜“宿舍真的在下雪！”）,秋不田,原来可以这样整活 薛之谦 吉他弹唱 翻唱,音乐 翻唱,3267451,97268,252123,60389,47926,38549,3960,4621,408.9166667,0.077161983,0.018481991,0.014667703,0.011797882,138,2021/11/7 19:32,2021/11/24 20:27
3770,【空耳】lemon竟然是一首中文歌？,弹珠汽水aya,动漫杂谈大会 非自然死亡 日语,音乐 音乐综合,4342413,26791,410089,279326,195620,44977,7822,9819,381.8833333,0.094438046,0.064325065,0.045048686,0.010357605,138,2021/11/8 22:34,2021/11/24 20:27
3771,我们是冠军！！！,EDG电子竞技俱乐部,英雄联盟S11 EDG 英雄联盟,游戏 电子竞技,6614022,2166396,739658,449698,125633,18451,33427,42196,426.25,0.111831802,0.067991609,0.018994947,0.002789679,138,2021/11/7 2:12,2021/11/24 20:27
3772,自制钢琴烤串车,手工耿,黑科技 钢琴 演奏,科技 极客DIY,7525518,6007668,824810,675932,149516,173459,67781,30889,338.45,0.109601758,0.089818668,0.019867868,0.023049443,138,2021/11/10 18:00,2021/11/24 20:27
3773,如果我用神曲去考级...,尔东和小明,全能音乐挑战赛 小提琴 斗地主 钢琴 演奏 搞笑,音乐 演奏,1906651,253166,148000,39864,19827,8340,4588,1727,458.4666667,0.077623015,0.020907864,0.010398862,0.004374162,138,2021/11/5 18:00,2021/11/24 20:28
3774,叶 辅 导,叶笛云央,民乐 演奏 搞笑,音乐 演奏,2678546,55894,276304,46915,74435,10452,2797,3827,418.3666667,0.103154473,0.0175151,0.02778933,0.003902117,138,2021/11/7 10:06,2021/11/24 20:28
3775,空中无限出牌，原来这么简单，网友直呼学废了！,天庭魔术,知识分享官,知识 野生技能协会,6979763,90396,556227,127165,237224,10734,6409,5097,457.2,0.079691388,0.0182191,0.0339874,0.001537875,138,2021/11/5 19:16,2021/11/24 20:28
3776,我连指纹都画了！什么时候能火一把啊~,有点艺思哦,素描 手绘 绘画,生活 绘画,2101200,27714,341554,47687,34954,3205,1750,2594,432.3333333,0.162551875,0.022695127,0.016635256,0.001525319,138,2021/11/6 20:08,2021/11/24 20:28
3777,2018年亚运会英雄联盟决赛视频,腾讯电竞,UZI 电竞赛事 英雄联盟,游戏 电子竞技,2163362,24098,104035,81976,70036,38263,43928,13134,460.5333333,0.048089501,0.037892872,0.032373685,0.017686823,138,2021/11/5 15:56,2021/11/24 20:28
3778,【啊粥】人民的名义09：沙瑞金如何在汉东省扎稳脚跟？,啊粥粥啊粥,影视万话镜 影评,影视 影视杂谈,1828800,413035,121434,140239,36521,8398,26567,4360,453.65,0.066400919,0.076683618,0.019969926,0.004592082,138,2021/11/5 22:49,2021/11/24 20:28
3779,嘴唇干？开裂？怒花4万，我居然测到了没啥用的唇膏！【老爸评测】,老爸评测,双十一好物星球 护肤 种草 美妆 科普,时尚 美妆护肤,2396719,3431054,218201,177976,39302,13724,5377,6263,459.4666667,0.091041545,0.074258184,0.016398251,0.005726161,138,2021/11/5 17:00,2021/11/24 20:28
3780,老板：“请把这个冬瓜给我雕刻出EDG夺冠的样子！”,三毛水果艺术,EDG 手工 英雄联盟,生活 手工,2986443,445832,292276,186546,34663,10294,5898,3640,409.3833333,0.097867597,0.062464276,0.011606784,0.00344691,138,2021/11/7 19:05,2021/11/24 20:28
3781,雪夜里的喀秋莎 Катюша,影薄要努力变高,你那里入冬了吗 俄语 翻唱,音乐 翻唱,1768899,10531,156066,60185,36335,7126,1704,3726,396.8333333,0.088227762,0.034023989,0.020541026,0.004028495,138,2021/11/8 7:38,2021/11/24 20:28
3782,根本赢不了，EDG听不懂,倒霉的波卤,英雄联盟S11 EDG IG LPL 英雄联盟,游戏 电子竞技,3994069,3977,197165,96614,36006,61410,13740,17421,499.9833333,0.049364445,0.024189367,0.009014867,0.015375298,138,2021/11/4 0:29,2021/11/24 20:28
3783,【圆子】童年阴影？天书奇谭狐狸仿妆！小师傅，请开门～,爱黏人的圆子哔___,美妆好物大赏 汉服 美妆,时尚 美妆护肤,1518405,414740,137350,56475,28279,4493,3957,2254,320.4666667,0.090456762,0.037193634,0.018624148,0.002959026,138,2021/11/11 12:00,2021/11/24 20:28
3784,【黄海木|挑战超强核心力】《点赞！达人秀》网管小哥的第二重“春天”,街健呆木头,极限运动 健身,运动 健身,1688255,742859,128035,13673,6641,5654,2282,3638,406.9833333,0.075838662,0.008098895,0.003933647,0.00334902,138,2021/11/7 21:30,2021/11/24 20:29
3785,EDG赢了！B站为8500万人推出了一项新计划,哔哩哔哩弹幕网,英雄联盟S11 公益 EDG 英雄联盟,生活 日常,2313865,3480065,231892,106433,27818,6715,2361,3803,417.9166667,0.100218466,0.04599793,0.012022309,0.002902071,138,2021/11/7 10:34,2021/11/24 20:29
3786,"""霍元甲，你嘛时候是津门第一呀？""",自动鬼畜中的WZ,鬼畜星探企划 李连杰 RAP 鬼畜调教 鬼畜,鬼畜 鬼畜调教,1291233,583629,75697,26457,15056,1165,3198,1359,314.9833333,0.058623812,0.020489718,0.011660173,0.000902238,138,2021/11/11 17:30,2021/11/24 20:29
3787,“祖传系列”《静听松风图》请网友鉴赏~,李青仪,英雄联盟S11 亚索 绘画 英雄联盟 搞笑,生活 绘画,565499,869094,44857,14254,4765,3082,1488,1362,439.3333333,0.079322864,0.025206057,0.008426186,0.005450054,138,2021/11/6 13:09,2021/11/24 20:29
3788,3元一个！咬开才知道，这东西为什么火爆南方街头！,盗月社食遇记,美食纪 美食,美食 美食侦探,4711786,6297174,521544,793715,262301,12570,17176,5722,434.9833333,0.110689238,0.168453109,0.055669124,0.002667778,138,2021/11/6 17:30,2021/11/24 20:29
3789,把剔掉154根骨刺的鱼肉，倒进不见一粒米的粥中…,绵羊料理,和绵羊一起料理 火锅 家常菜 厨艺 美食,美食 美食制作,5546987,8770523,512610,218915,71293,16114,27986,5241,387.4833333,0.092412331,0.039465569,0.012852563,0.002905,138,2021/11/8 17:00,2021/11/24 20:29
3790,终于结束了，这些丧心病狂的挑战！,在下哲别,搞笑,生活 搞笑,3574956,2583635,484922,243945,63105,6744,96491,7992,465.4833333,0.135644187,0.068237203,0.017651966,0.001886457,138,2021/11/5 11:00,2021/11/24 20:29
3791,《孤勇者》（《英雄联盟：双城之战》动画剧集中文主题曲）,英雄联盟,英雄联盟,游戏 电子竞技,7421747,2660332,490512,532847,275090,115038,12136,34123,394.4,0.066091178,0.07179536,0.037065397,0.015500124,138,2021/11/8 10:05,2021/11/24 20:29
3792,【明日方舟手书/动画】Tunnel Vision,虫柚POMELO,明日方舟·赛场分圈 手书 明日方舟 绘画,动画 短片·手书·配音,591674,11184,104149,96748,65695,6372,1359,2195,440.9833333,0.176024297,0.16351572,0.111032427,0.010769444,138,2021/11/6 11:30,2021/11/24 20:29
3793,周杰伦的声音为什么会变成现在这样？真的是因为奶茶吗？带你解析二十一年以来周董的声音变化史！,Jason-老湿,乐评盘点 周杰伦,音乐 音乐综合,2065759,1101752,177802,172324,66027,20781,16054,5589,385.5666667,0.086071028,0.083419218,0.031962586,0.010059741,138,2021/11/8 18:55,2021/11/24 20:29
3794,早知道消防队这么玩我就不来了,凉风Kaze,,,1510155,8203053,203541,127427,27403,1754,7717,2930,1068596.5,0.134781529,0.08438008,0.018145819,0.00116147,138,,2021/11/24 20:30
3795,如何在没有人质的情况下拿到赎金？【硬核狠人15】,小约翰可汗,知识分享官 历史 美国 人文,知识 人文历史,2893367,2604145,159038,77626,24041,4764,14929,6245,345.5,0.054966411,0.02682895,0.008309005,0.001646525,138,2021/11/10 11:00,2021/11/24 20:30
3796,一起“造造造” （3）,小潮院长,搞笑,生活 搞笑,4217106,7041953,373737,96706,43414,7281,38749,4764,456.3166667,0.088624047,0.02293184,0.010294738,0.001726539,138,2021/11/5 20:11,2021/11/24 20:30
3797,袁隆平的猫还在等他回家,央视新闻,,资讯 社会,2213906,7560508,251788,43094,29239,7148,6901,4843,463.1833333,0.113730213,0.019465144,0.013206974,0.003228683,138,2021/11/5 13:19,2021/11/24 20:30
3798,【赛事晚自习192】DK凭什么不ban皇子？EDG开团最猛一局复盘！EDG vs DK第一局细节复盘,LPL战术小黑板,英雄联盟S11 LCK LPL 英雄联盟,游戏 电子竞技,2243437,972062,175184,42399,12436,8410,4874,3552,363.4333333,0.078087328,0.018899127,0.00554328,0.003748712,138,2021/11/9 17:04,2021/11/24 20:30
3799,一分钟教你堆个不太一样的雪人,Melonshu,手工 DIY,生活 手工,2734914,51443,268683,53009,48520,42650,2687,5547,410.6666667,0.098241846,0.019382328,0.01774096,0.01559464,138,2021/11/7 17:50,2021/11/24 20:30
3800,话不多说，直接看，新小子芦荟汁来了！,刘庸干净又卫生,星级探店日记 街头美食 美食,美食 美食侦探,3182840,1611492,258641,67740,12605,16274,25146,6961,312.7,0.081261075,0.021282879,0.0039603,0.005113044,138,2021/11/11 19:48,2021/11/24 20:30
3801,如果EDG夺冠，我就cos塔姆！！,拼音音,英雄联盟S11 萨勒芬妮 EDG 英雄联盟,生活 日常,4652717,184726,175527,11855,18167,7503,5283,14899,479.8,0.037725699,0.002547974,0.0039046,0.001612606,138,2021/11/4 20:42,2021/11/24 20:30
