author,title,tag,partition,funs,like,coins,collect,share,danmu,reply,time,like_rate,views
咕唧咕唧小河豚,【刨根解析】极致享受！雾山五行第二季PV打戏拉片! 探秘燃翻全场的三十秒!,国创 国产原创相关,guochuang,100478,5015,2569,831,235,304,286,49.05,0.138405917,36234
童颜泡芙,韩立喜欢陈巧倩吗？【凡人修仙传】动画台词深度解读,国创 国产原创相关,guochuang,50655,2996,890,373,39,698,855,72.85,0.04709285,63619
努力变得更好的小志,像我们这样的大师还有人记得吗？【十二生肖闯江湖】,国创 国产原创相关,guochuang,45443,9686,755,1519,124,342,374,97.38333333,0.103920348,93206
灰太狼办公室,狼 辅 导,国创 国产原创相关,guochuang,945153,187149,7262,21819,4903,932,1373,359.4,0.111158034,1683630
本玩家,云来城中须弥现！男装佳人是非多~《神精榜微剧场》,国创 国产原创相关,guochuang,54971,3145,3586,624,24,355,251,20.96666667,0.149165244,21084
非人哉工作室,#非人哉# 穷叉叉天团来啦！！！,国创 国产原创相关,guochuang,1061085,4967,67,192,57,11,64,51.95,0.131597075,37744
哇周某人,“喂，强子，今年过年回来吗？”,国创 国产原创相关,guochuang,83221,2562,950,937,84,369,179,73.66666667,0.094948671,26983
名侦探拳头,【拳头说书】解说《凡人修仙传》全本小说（人界篇）1321章合集！（已完结）,国创 国产原创相关,guochuang,647751,13585,14538,9513,405,4138,405,247.1333333,0.038799542,350133
我想吃个糖-,【天官赐福2】顶流切大号回来了!就问这谁顶得住!?,国创 国产原创相关,guochuang,7213,3246,345,862,153,167,93,80.3,0.077664792,41795
仙女凡凡-爱动漫,原来河神才是隐藏的大佬啊,国创 国产原创相关,guochuang,2005,74941,659,9615,208,221,336,505.7833333,0.052240221,1434546
MC生存砖家,时光代理人第二季pv  细节解说,国创 国产原创相关,guochuang,243,4046,401,844,342,271,253,101.2333333,0.065365601,61898
城城碎冰冰,偷星九月天PV让我想起的童年阴影——浪漫传说，欠我的你怎么还,国创 国产原创相关,guochuang,1812,2691,71,371,93,235,881,110.7666667,0.049726513,54116
莱落sama,偷星九月天主要角色的能力,国创 国产原创相关,guochuang,15394,1107,105,483,130,159,428,51.93333333,0.036316515,30482
无限吃鸡小队,小伙枪王争霸赛惨遭碾压，决心勤学苦练，三年后复仇开始了！,,guochuang,10869,1313,189,145,6,1,4,1068618.15,0.001057771,1241289
滑稽中二梦,三体影视化全面爆发，动画版会拔得头筹吗？,国创 国产原创相关,guochuang,526100,3067,584,353,47,271,214,23.6,0.185608811,16524
啦啦里里呀,虐改甜！适配度太高！！【时代少年团《醉》x国漫《相思》】红豆《醉》《相思》！！,国创 国产原创相关,guochuang,12632,5514,1832,1896,501,509,410,98.61666667,0.130102402,42382
懒散REN,“国漫可没你想象的那么不堪！”,国创 国产原创相关,guochuang,15656,27985,7068,8840,544,823,719,509.15,0.111907323,250073
大格雷普GRAPE,《三个和尚》看似简单，实则细节多到爆炸,国创 国产原创相关,guochuang,6232,15261,1053,3015,188,209,251,141.1666667,0.078561684,194255
小you动漫说,熊出没老版本vs新版本，当年肥波的压迫感有多强,国创 国产原创相关,guochuang,3715,14863,1518,11727,76,217,156,503.1666667,0.004689749,3169253
须賀圭介,“这1分钟，涵盖了动画人多少年心血”,国创 国产原创相关,guochuang,115277,2965,680,602,42,251,205,94.45,0.075131766,39464
探欣社,蓝星最强兵种 我兔炊事班,国创 国产原创相关,guochuang,1340,1606,39,147,14,61,55,73.38333333,0.047863146,33554
whatbug,【2020小宇宙新星计划】《记忆管理局》,国创 国产原创相关,guochuang,65479,137417,156651,106334,32100,7838,4896,10103.65,0.13069248,1051453
终阳的败犬,关于花城主cv不知道天官第二季pv这件事,国创 国产原创相关,guochuang,45,5664,46,1600,934,72,278,104.55,0.080741269,70150
虹小亮,当你提取了一名00后的DNA,国创 国产原创相关,guochuang,2488,14441,3720,5345,385,1167,600,463.65,0.100383712,143858
想吃桃片,『凡人修仙』爽shi了,国创 国产原创相关,guochuang,108,3838,70,98,24,209,503,99.06666667,0.045266907,84786
漫游U,萧炎为美杜莎买糖葫芦和高跟鞋竟然安抚住了这个小女人！［斗破苍穹三年之约美杜莎强势登场］,国创 国产原创相关,guochuang,299,2162,15,438,10,15,110,101.6666667,0.03291066,65693
为一放映室,在天界基层工作的乖龙不容易，兢兢业业，最后还没好~,国创 国产原创相关,guochuang,36430,87476,1191,12519,326,505,761,501.9666667,0.039011207,2242330
